Class,0,1,2,3,4,5,6,7,8,9
0,0.804,0.0,0.026,0.074,0.005,0.005,0.066,0.0,0.02,0.0
1,0.003,0.93,0.001,0.055,0.005,0.001,0.002,0.0,0.003,0.0
2,0.014,0.0,0.726,0.018,0.161,0.001,0.065,0.0,0.015,0.0
3,0.024,0.004,0.009,0.908,0.025,0.0,0.026,0.0,0.004,0.0
4,0.001,0.001,0.073,0.054,0.804,0.001,0.057,0.0,0.009,0.0
5,0.001,0.0,0.0,0.001,0.0,0.922,0.0,0.053,0.001,0.022
6,0.179,0.002,0.097,0.062,0.13,0.003,0.497,0.0,0.03,0.0
7,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.948,0.001,0.033
8,0.003,0.001,0.002,0.009,0.004,0.003,0.009,0.004,0.965,0.0
