Class,Termination,Recount,Dangerous,Lifeline,Binoculars
Termination,0.583,0.155,0.145,0.033,0.083
Recount,0.218,0.331,0.228,0.096,0.126
Dangerous,0.165,0.067,0.526,0.129,0.113
Lifeline,0.02,0.042,0.134,0.659,0.146
Binoculars,0.119,0.092,0.191,0.158,0.439
