Class,Termination,Recount,Dangerous,Lifeline,Binoculars
Termination,0.851,0.051,0.061,0.018,0.02
Recount,0.152,0.705,0.056,0.026,0.06
Dangerous,0.134,0.042,0.697,0.071,0.056
Lifeline,0.04,0.036,0.088,0.766,0.07
Binoculars,0.082,0.049,0.055,0.123,0.691
