Class,Termination,Recount,Dangerous,Lifeline,Binoculars
Termination,0.851,0.061,0.055,0.012,0.022
Recount,0.092,0.752,0.068,0.014,0.074
Dangerous,0.094,0.023,0.754,0.069,0.061
Lifeline,0.016,0.026,0.062,0.846,0.05
Binoculars,0.051,0.039,0.025,0.092,0.793
