Class,Termination,Recount,Dangerous,Lifeline,Binoculars
Termination,0.849,0.059,0.041,0.02,0.031
Recount,0.056,0.842,0.03,0.02,0.052
Dangerous,0.065,0.031,0.791,0.063,0.05
Lifeline,0.014,0.026,0.074,0.832,0.054
Binoculars,0.041,0.031,0.023,0.062,0.842
