Class,Termination,Recount,Dangerous,Lifeline,Binoculars
Termination,0.631,0.169,0.081,0.039,0.081
Recount,0.134,0.651,0.082,0.042,0.09
Dangerous,0.121,0.081,0.61,0.104,0.084
Lifeline,0.042,0.058,0.098,0.687,0.116
Binoculars,0.09,0.062,0.064,0.137,0.646
